Item Name,Price,Price per Unit,Quantity ,Total,Link to purchase
XRP Robot Kit,119.95,119.95,1,119.95,https://www.sparkfun.com/xrp?gad_source=1&gad_campaignid=17479024030&gbraid=0AAAAADsj4ESfX7tpll5UkmOZUqH8LsG8d&gclid=CjwKCAjwuuPRBhAnEiwA2Ji8euDX9bHumqsAlo7CF2etswLHSfDvKZ3LHWz1PQuqt1usNyeqTCbTaBoC9SQQAvD_BwE
MG995 Servo Motor,17.98,4.495,4,17.98,https://www.amazon.com/Deegoo-FPV-Servo-MG995-Metal-Gear/dp/B07NQJ1VZ2?th=1
Inland PLA Filament,9.99,0.00999,133.77,1.3363623,https://www.microcenter.com/product/692936/inland-175mm-pla-basic-3d-printer-filament-1kg-(22lbs)-cardboard-spool-white
Servo Wire Extensions,9.99,0.454090909,2,0.908181818,https://www.amazon.com/AEDIKO-Extension-Connectors-Connection-Control/dp/B09BPX1HNS
M3 Screw Set,9.99,0.01040625,18,0.1873125,https://www.amazon.com/Screwish-Metric-Assortment-Washers-Printing/dp/B0GJRVX7F8/ref=sr_1_18_sspa?dib=eyJ2IjoiMSJ9.WV9vbUoR7v5KPi58AH83sbzGWGqVNii-ynbB5sl0pgi60EWGKL47-TZYQY3TXXlamIh899bprpOo3h4ufqPBiv0wknmED0QzikZlrsvfWLoMqlKBWf7uaoD6kTxm-gU9ttn02YR1rd_Eyliq3ASujvPsViI1LaK29OA-nKIqH1fL2uJVb4UaziYJ852N-EH3gO81JS5fZi0dFV2WdDbldAVfQdQKwwUOnlCdisYXPkc.DVfpss6BNsm_h3chYSmbVx53Yal4q-kRa3SR60wCEF4&dib_tag=se&keywords=m3%2Bscrews&qid=1782162835&sr=8-18-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
Double AA batteries,8.49,0.7075,4,2.83,https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-12-Pack/dp/B07KWYGTC6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.2JcrUDDhPTtwscmhxBa1O-k-tR0BxmdJnD2W-xSMpnQq1-xibyTyMpHfTZIRX3C7s26gTORaPc9ZDJySwAcDBRcQSiSWVQo7mqv2lJU6bNQSA2JPKDtiJa-NTKNq6eQU8nOsg0gKzeu2LZV7109qNJEhZ7vLIOJIZ5uxHuec3_ndSj8K0Vt-vqysmnDj2Jt50ZIXw1tZ4h6CQwJceWKHQLu10SxqZcL1y0Wp_dEDvhORZYGvhYkU5hrWPVEn_LE-uZXUoEMrj_0kkKw3E_AC1MK5JsAa3pVp39OK1TCnigA._vxmmCoI_gLJowO_uPQh2rqDIg72gNby_a1yvH2qGjM&dib_tag=se&keywords=batteries&qid=1782163127&sr=8-10&th=1
Battery holder,5.49,1.3725,4,5.49,https://www.amazon.com/VWEICYY-Battery-Holder-housing-Without/dp/B0GJT9V955/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HdOCtAParftrIGrHXVgZnxCFjJPFfS5YsUnUrpXEqsu2t4ILciozfic6jEgdTysYkuQR7SuusPaqDqxwfXVEzl-PRzWICJUJ5armajs_gTcaZ0aVKL9SWdQ5Qwv1nyFoaSXBOs6_J6NXLopkyW0v4B6O62eKc62Z3mA_1ydW48ZE5MeWc0uUlP-qk98P7uO-dpDrbikQSnFqDgIZt10fYpVO66A6qPI4ewwlWGb8cGQ.AiN2_vDh45LN7fg9eVQbdVrxRS1p6U6kBgPDeX3fbzY&dib_tag=se&keywords=aa+battery+holder&qid=1785554897&sr=8-5
Breadboard power rails,2.56,2.56,1,2.56,https://www.digikey.com/en/products/detail/busboard-prototype-systems/BB50R/28714630?gclsrc=aw.ds&gad_source=4&gad_campaignid=20232005509&gbraid=0AAAAADrbLljEmsLnzclGd5MixVJKLT1RK&gclid=CjwKCAjwj7HTBhBiEiwA8s35Orextiqir01jskVEYPXCbxSoSz8EfT4WWtPcIMHUpkoQYYuxn1RUVBoCM7AQAvD_BwE
300uf 30V Capacitor,1.05,1.05,2,2.1,https://www.digikey.com/en/products/detail/chemi-con/EKYC500ELL301MJ16S/10486467
M to F jumper,1.95,0.0975,4,0.39,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1954/6827087?gclsrc=aw.ds&gad_source=1&gad_campaignid=20232005509&gbraid=0AAAAADrbLlganUnKQg7i0hSQkAlfhWSyc&gclid=CjwKCAjwj7HTBhBiEiwA8s35Oq7jBh_SRBSN8kRDLHQBFo5kav6s-H8dnyxV770IHENpwnoMsTKwrhoCDt8QAvD_BwE
M to M jumper,1.95,0.0975,10,0.975,https://www.adafruit.com/product/1957?gad_source=1&gad_campaignid=23986111167&gbraid=0AAAAADx9JvTT_AlPehgqXQIHYD6CFsdFi&gclid=CjwKCAjwj7HTBhBiEiwA8s35OgovrbBO1ChgGR4nijLh3EbwSFlkdJ2sLu331raBV-gkM54hNZYpCRoCctYQAvD_BwE
TOTAL,,,,154.7068566,
